cortellis_condition,revised_icd9,icd9,icd9_category,icd9_sub_chapter,icd9_chapter
rickettsia infection,,083,Other rickettsioses,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
endocarditis,,083,Other rickettsioses,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
bartonella infection,,083,Other rickettsioses,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
coxiella infection,,083,Other rickettsioses,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
q fever,,083,Other rickettsioses,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
plasmodium malariae infection,,084,Malaria,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
leishmania tropica infection,,085,Leishmaniasis,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
leishmania infection,,085,Leishmaniasis,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
leishmania donovani infection,,085,Leishmaniasis,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
leishmania braziliensis infection,,085,Leishmaniasis,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
trypanosoma cruzi infection,,086,Trypanosomiasis,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
trypanosomiasis,,086,Trypanosomiasis,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
trypanosoma brucei infection,,086,Trypanosomiasis,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
borrelia burgdorferi infection,,088,Other arthropod-borne diseases,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
thromboembolism,,088,Other arthropod-borne diseases,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
lyme disease,,088,Other arthropod-borne diseases,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
babesia infection,,088,Other arthropod-borne diseases,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
borrelia recurrentis infection,,088,Other arthropod-borne diseases,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
bartonella bacilliformis infection,,088,Other arthropod-borne diseases,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
tendon disease,,095,"Other forms of late syphilis, with symptoms",Syphilis And Other Venereal Diseases,Infectious And Parasitic Diseases
neisseria gonorrhoeae infection,,098,Gonococcal infections,Syphilis And Other Venereal Diseases,Infectious And Parasitic Diseases
neisseria infection,,098,Gonococcal infections,Syphilis And Other Venereal Diseases,Infectious And Parasitic Diseases
epididymo-orchitis,,098,Gonococcal infections,Syphilis And Other Venereal Diseases,Infectious And Parasitic Diseases
cervicitis,,098,Gonococcal infections,Syphilis And Other Venereal Diseases,Infectious And Parasitic Diseases
urethritis,,099,Other venereal diseases,Syphilis And Other Venereal Diseases,Infectious And Parasitic Diseases
haemophilus ducreyi infection,,099,Other venereal diseases,Syphilis And Other Venereal Diseases,Infectious And Parasitic Diseases
aseptic meningitis,,100,Leptospirosis,Other Spirochetal Diseases,Infectious And Parasitic Diseases
treponema pallidum infection,,102,Yaws,Other Spirochetal Diseases,Infectious And Parasitic Diseases
hyperkeratosis,,102,Yaws,Other Spirochetal Diseases,Infectious And Parasitic Diseases
rhinopharyngitis,,102,Yaws,Other Spirochetal Diseases,Infectious And Parasitic Diseases
trichophyton infection,,110,Dermatophytosis,Mycoses,Infectious And Parasitic Diseases
epidermophyton infection,,110,Dermatophytosis,Mycoses,Infectious And Parasitic Diseases
microsporum infection,,110,Dermatophytosis,Mycoses,Infectious And Parasitic Diseases
onychomycosis,,110,Dermatophytosis,Mycoses,Infectious And Parasitic Diseases
dermatophytosis,,110,Dermatophytosis,Mycoses,Infectious And Parasitic Diseases
tinea capitis,,110,Dermatophytosis,Mycoses,Infectious And Parasitic Diseases
tinea corporis,,110,Dermatophytosis,Mycoses,Infectious And Parasitic Diseases
tinea cruris,,110,Dermatophytosis,Mycoses,Infectious And Parasitic Diseases
tinea pedis,,110,Dermatophytosis,Mycoses,Infectious And Parasitic Diseases
dermatomycosis,,111,"Dermatomycosis, other and unspecified",Mycoses,Infectious And Parasitic Diseases
tinea,,111,"Dermatomycosis, other and unspecified",Mycoses,Infectious And Parasitic Diseases
urogenital tract infection,,112,Candidiasis,Mycoses,Infectious And Parasitic Diseases
candida infection,,112,Candidiasis,Mycoses,Infectious And Parasitic Diseases
candida krusei infection,,112,Candidiasis,Mycoses,Infectious And Parasitic Diseases
candida glabrata infection,,112,Candidiasis,Mycoses,Infectious And Parasitic Diseases
saccharomyces infection,,112,Candidiasis,Mycoses,Infectious And Parasitic Diseases
mucocutaneous candidiasis,,112,Candidiasis,Mycoses,Infectious And Parasitic Diseases
coccidioides infection,,114,Coccidioidomycosis,Mycoses,Infectious And Parasitic Diseases
histoplasma infection,,115,Histoplasmosis,Mycoses,Infectious And Parasitic Diseases
blastomyces infection,,116,Blastomycotic infection,Mycoses,Infectious And Parasitic Diseases
aspergillus infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
cryptococcus infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
cryptococcus neoformans infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
fungal infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
cryptosporidium infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
aspergillus fumigatus infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
exophiala infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
scedosporium infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
zygomycete infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
mucor infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
rhizopus infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
absidia infection,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
cryptococcus neoformans meningitis,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
chromoblastomycosis,,117,Other mycoses,Mycoses,Infectious And Parasitic Diseases
fusarium infection,,118,Opportunistic mycoses,Mycoses,Infectious And Parasitic Diseases
schistosomiasis,,120,Schistosomiasis [bilharziasis],Helminthiases,Infectious And Parasitic Diseases
fasciola hepatica infection,,121,Other trematode infections,Helminthiases,Infectious And Parasitic Diseases
cysticercosis,,123,Other cestode infection,Helminthiases,Infectious And Parasitic Diseases
filariasis,,125,Filarial infection and dracontiasis,Helminthiases,Infectious And Parasitic Diseases
onchocerciasis,,125,Filarial infection and dracontiasis,Helminthiases,Infectious And Parasitic Diseases
hookworm infection,,126,Ancylostomiasis and necatoriasis,Helminthiases,Infectious And Parasitic Diseases
nematode infection,,127,Other intestinal helminthiases,Helminthiases,Infectious And Parasitic Diseases
helminth infection,,128,Other and unspecified helminthiases,Helminthiases,Infectious And Parasitic Diseases
toxoplasma infection,,130,Toxoplasmosis,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
toxoplasma gondii infection,,130,Toxoplasmosis,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
louse infestation,,132,Pediculosis and phthirus infestation,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
pediculosis capitis infestation,,132,Pediculosis and phthirus infestation,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
mite infection,,133,Acariasis,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
sarcoidosis,,135,Sarcoidosis,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
protozoal infection,,136,Other and unspecified infectious and parasitic diseases,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
microsporidial infection,,136,Other and unspecified infectious and parasitic diseases,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
amoeba infection,,136,Other and unspecified infectious and parasitic diseases,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
infectious disease,,136,Other and unspecified infectious and parasitic diseases,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
behcets disease,,136,Other and unspecified infectious and parasitic diseases,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
rhizomucor infection,,136,Other and unspecified infectious and parasitic diseases,Other Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
goiter,,240,Simple and unspecified goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
graves disease,,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperthyroidism,,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
thyroid disease,,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
nodular goiter,,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
thyroid associated ophthalmopathy,,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypothyroidism,,244,Acquired hypothyroidism,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hashimotos disease,,246,Other disorders of thyroid,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
diabetes mellitus,,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
diabetic cataract,,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
diabetic complication,,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
diabetic macroangiopathy,,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
skin manifestation,,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
diabetic foot ulcer,,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
insulin dependent diabetes,,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
non-insulin dependent diabetes,,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
